Week,astrophysicist: (India)
17-03-2019,26
24-03-2019,13
31-03-2019,18
07-04-2019,11
14-04-2019,0
21-04-2019,24
28-04-2019,17
05-05-2019,12
12-05-2019,12
19-05-2019,12
26-05-2019,12
02-06-2019,22
09-06-2019,21
16-06-2019,12
23-06-2019,25
30-06-2019,23
07-07-2019,22
14-07-2019,18
21-07-2019,17
28-07-2019,34
04-08-2019,22
11-08-2019,16
18-08-2019,31
25-08-2019,0
01-09-2019,23
08-09-2019,26
15-09-2019,21
22-09-2019,16
29-09-2019,11
06-10-2019,22
13-10-2019,22
20-10-2019,21
27-10-2019,15
03-11-2019,15
10-11-2019,11
17-11-2019,33
24-11-2019,27
01-12-2019,15
08-12-2019,14
15-12-2019,0
22-12-2019,21
29-12-2019,33
05-01-2020,20
12-01-2020,31
19-01-2020,26
26-01-2020,23
02-02-2020,26
09-02-2020,24
16-02-2020,23
23-02-2020,0
01-03-2020,16
08-03-2020,58
15-03-2020,15
22-03-2020,25
29-03-2020,32
05-04-2020,35
12-04-2020,36
19-04-2020,65
26-04-2020,45
03-05-2020,36
10-05-2020,20
17-05-2020,25
24-05-2020,26
31-05-2020,38
07-06-2020,20
14-06-2020,37
21-06-2020,29
28-06-2020,79
05-07-2020,25
12-07-2020,32
19-07-2020,29
26-07-2020,19
02-08-2020,32
09-08-2020,18
16-08-2020,44
23-08-2020,35
30-08-2020,27
06-09-2020,25
13-09-2020,41
20-09-2020,26
27-09-2020,24
04-10-2020,41
11-10-2020,33
18-10-2020,30
25-10-2020,29
01-11-2020,30
08-11-2020,32
15-11-2020,23
22-11-2020,28
29-11-2020,29
06-12-2020,28
13-12-2020,87
20-12-2020,36
27-12-2020,29
03-01-2021,27
10-01-2021,18
17-01-2021,41
24-01-2021,28
31-01-2021,43
07-02-2021,29
14-02-2021,15
21-02-2021,25
28-02-2021,36
07-03-2021,22
14-03-2021,31
21-03-2021,29
28-03-2021,38
04-04-2021,41
11-04-2021,25
18-04-2021,35
25-04-2021,27
02-05-2021,19
09-05-2021,51
16-05-2021,34
23-05-2021,34
30-05-2021,45
06-06-2021,61
13-06-2021,32
20-06-2021,26
27-06-2021,54
04-07-2021,20
11-07-2021,29
18-07-2021,29
25-07-2021,91
01-08-2021,25
08-08-2021,40
15-08-2021,32
22-08-2021,45
29-08-2021,19
05-09-2021,22
12-09-2021,34
19-09-2021,26
26-09-2021,31
03-10-2021,32
10-10-2021,0
17-10-2021,40
24-10-2021,20
31-10-2021,0
07-11-2021,43
14-11-2021,39
21-11-2021,43
28-11-2021,18
05-12-2021,30
12-12-2021,35
19-12-2021,29
26-12-2021,23
02-01-2022,43
09-01-2022,32
16-01-2022,40
23-01-2022,40
30-01-2022,27
06-02-2022,26
13-02-2022,19
20-02-2022,29
27-02-2022,28
06-03-2022,34
13-03-2022,44
20-03-2022,38
27-03-2022,25
03-04-2022,32
10-04-2022,30
17-04-2022,26
24-04-2022,35
01-05-2022,27
08-05-2022,18
15-05-2022,24
22-05-2022,39
29-05-2022,23
05-06-2022,22
12-06-2022,31
19-06-2022,29
26-06-2022,38
03-07-2022,30
10-07-2022,33
17-07-2022,31
24-07-2022,30
31-07-2022,30
07-08-2022,26
14-08-2022,28
21-08-2022,20
28-08-2022,28
04-09-2022,28
11-09-2022,32
18-09-2022,27
25-09-2022,37
02-10-2022,30
09-10-2022,32
16-10-2022,25
23-10-2022,25
30-10-2022,33
06-11-2022,27
13-11-2022,36
20-11-2022,28
27-11-2022,26
04-12-2022,24
11-12-2022,35
18-12-2022,38
25-12-2022,20
01-01-2023,31
08-01-2023,31
15-01-2023,22
22-01-2023,29
29-01-2023,19
05-02-2023,33
12-02-2023,38
19-02-2023,29
26-02-2023,41
05-03-2023,28
12-03-2023,40
19-03-2023,43
26-03-2023,26
02-04-2023,89
09-04-2023,39
16-04-2023,35
23-04-2023,27
30-04-2023,41
07-05-2023,100
14-05-2023,38
21-05-2023,40
28-05-2023,35
04-06-2023,44
11-06-2023,38
18-06-2023,58
25-06-2023,34
02-07-2023,44
09-07-2023,31
16-07-2023,41
23-07-2023,35
30-07-2023,36
06-08-2023,31
13-08-2023,24
20-08-2023,36
27-08-2023,37
03-09-2023,32
10-09-2023,20
17-09-2023,20
24-09-2023,34
01-10-2023,28
08-10-2023,19
15-10-2023,30
22-10-2023,31
29-10-2023,31
05-11-2023,22
12-11-2023,27
19-11-2023,22
26-11-2023,42
03-12-2023,35
10-12-2023,31
17-12-2023,22
24-12-2023,38
31-12-2023,41
07-01-2024,25
14-01-2024,14
21-01-2024,21
28-01-2024,25
04-02-2024,23
11-02-2024,20
18-02-2024,30
25-02-2024,14
03-03-2024,27
